line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0040,28,103,66,50.553,False,"[[581.64, 714.6], [590.28, 710.76], [615.12, 712.32], [626.4, 700.68]]",actual,7.0774,0.004874,0.062228,0.00084472,50.0,
544H,28,66,66,83.229,False,"[[593.16, 635.52], [583.56, 704.52], [583.92, 718.08]]",actual,11.6521,0.008025,0.10245,0.00139072,50.0,
544E,29,66,66,31.52,False,"[[578.64, 605.16], [581.28, 614.04], [587.04, 619.32], [587.173, 619.638], [587.354, 620.046], [587.577, 620.535], [587.838, 621.095], [588.131, 621.718], [588.453, 622.395], [588.797, 623.116], [589.16, 623.872], [589.536, 624.655], [589.92, 625.455], [590.308, 626.263], [590.695, 627.07], [591.075, 627.867], [591.445, 628.645], [591.799, 629.394], [592.132, 630.107], [592.439, 630.772], [592.716, 631.383], [592.958, 631.928], [593.16, 632.4]]",actual,4.4128,0.003039,0.038799,0.00052669,50.0,
L0041,29,100,66,12.914,False,"[[567.12, 608.64], [574.2, 597.84]]",actual,1.808,0.001245,0.015896,0.00021579,50.0,
531D,30,35,66,55.651,False,"[[457.92, 678.84], [482.04, 679.44], [492.36, 684.12], [491.752, 683.881], [491.362, 683.736], [491.177, 683.68], [491.186, 683.708], [491.377, 683.816], [491.74, 683.999], [492.262, 684.252], [492.932, 684.569], [493.739, 684.947], [494.67, 685.38], [495.715, 685.863], [496.861, 686.392], [498.098, 686.962], [499.414, 687.567], [500.797, 688.204], [502.236, 688.866], [503.72, 689.55], [505.236, 690.25], [506.773, 690.962], [508.32, 691.68]]",actual,7.7911,0.005366,0.068503,0.00092991,50.0,
534B,30,166,66,98.932,False,"[[454.2, 768.0], [465.6, 760.92], [477.36, 757.8], [479.88, 746.64], [482.4, 731.04], [489.36, 724.68], [496.32, 711.84], [496.66, 711.232], [496.997, 710.633], [497.331, 710.042], [497.662, 709.457], [497.991, 708.879], [498.317, 708.307], [498.641, 707.74], [498.964, 707.178], [499.285, 706.62], [499.605, 706.065], [499.924, 705.513], [500.243, 704.963], [500.561, 704.414], [500.879, 703.866], [501.197, 703.318], [501.516, 702.77], [501.835, 702.221], [502.155, 701.67], [502.477, 701.116], [502.8, 700.56], [504.6, 691.68]]",actual,13.8505,0.009539,0.12178,0.00165312,50.0,
L0042,31,32,66,58.995,False,"[[520.68, 353.64], [526.08, 349.08], [552.24, 348.12], [558.0, 352.68], [571.8, 350.4], [574.8, 347.16]]",actual,8.2593,0.005688,0.07262,0.00098578,50.0,
513C,31,181,66,33.598,False,"[[488.497, 363.122], [494.76, 359.4], [507.0, 359.4], [519.84, 353.64]]",actual,4.7037,0.003239,0.041357,0.00056141,50.0,
521D,33,69,66,108.041,False,"[[582.72, 530.76], [616.68, 534.0], [625.68, 532.8], [631.44, 535.8], [642.24, 534.24], [645.0, 542.88], [636.6, 580.32]]",actual,15.1257,0.010417,0.132993,0.00180532,50.0,
532C,34,35,66,39.428,False,"[[415.32, 690.72], [452.64, 678.0]]",actual,5.5199,0.003802,0.048534,0.00065883,50.0,
571B,36,80,66,100.834,False,"[[416.4, 176.16], [405.12, 176.52], [405.36, 190.56], [400.68, 198.6], [361.56, 225.96], [357.0, 235.2], [363.6, 240.0]]",actual,14.1168,0.009722,0.124121,0.0016849,50.0,
L0043,36,86,66,116.802,False,"[[376.8, 150.84], [361.8, 148.8], [357.48, 180.36], [361.68, 200.28], [355.92, 229.2], [352.2, 236.76], [362.52, 241.92]]",actual,16.3523,0.011262,0.143777,0.00195172,50.0,
L0044,38,39,66,59.419,False,"[[311.76, 340.8], [311.956, 340.592], [312.18, 340.367], [312.431, 340.126], [312.704, 339.872], [312.996, 339.606], [313.303, 339.33], [313.623, 339.047], [313.953, 338.759], [314.288, 338.468], [314.625, 338.175], [314.961, 337.883], [315.294, 337.595], [315.618, 337.311], [315.932, 337.034], [316.232, 336.767], [316.514, 336.511], [316.775, 336.268], [317.012, 336.04], [317.221, 335.83], [317.4, 335.64], [354.6, 333.72], [369.12, 333.48]]",actual,8.3187,0.005729,0.073142,0.00099287,50.0,
L0045,38,82,66,33.413,False,"[[316.32, 341.88], [301.92, 350.16], [303.167, 349.424], [304.116, 348.862], [304.786, 348.462], [305.199, 348.212], [305.377, 348.099], [305.341, 348.111], [305.112, 348.235], [304.712, 348.459], [304.16, 348.77], [303.48, 349.155], [302.692, 349.602], [301.816, 350.1], [300.876, 350.634], [299.891, 351.192], [298.882, 351.763], [297.873, 352.333], [296.882, 352.891], [295.932, 353.423], [295.045, 353.917], [294.24, 354.36]]",actual,4.6778,0.003222,0.04113,0.00055832,50.0,
L0046,38,82,66,10.36,False,"[[304.68, 348.0], [314.04, 352.44]]",actual,1.4504,0.000999,0.012753,0.00017311,50.0,
