bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
98,588.96,749.52,1,substation_or_sw,開閉所,桜田,False,,PQ,0.0,0.0,0.0,0.0,1.0
99,597.12,738.96,1,substation_or_sw,変電所,桜田,False,,PQ,4.0,1.9373,0.0,0.0,1.0
100,562.32,609.08,1,substation_or_sw,1次変電所,寒河江,False,,PQ,0.0,0.0,0.0,0.0,1.0
101,648.6,624.24,1,substation_or_sw,変電所,久野本,False,,PQ,4.0,1.9373,0.0,0.0,1.0
102,635.82,563.58,0,substation_or_sw,変電所,神町,False,,PQ,4.0,1.9373,0.0,0.0,1.0
103,627.84,700.56,2,substation_or_sw,開閉所,宮町,False,,PQ,0.0,0.0,0.0,0.0,1.0
104,295.32,389.16,1,junction,,西鶴岡,True,unknown,PQ,0.0,0.0,0.0,0.0,1.0
105,299.04,377.16,1,substation_or_sw,開閉所,西鶴岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
106,651.36,740.4,1,substation_or_sw,開閉所,松波,False,,PQ,0.0,0.0,0.0,0.0,1.0
107,624.78,682.44,2,substation_or_sw,変電所,宮町,False,,PQ,4.0,1.9373,0.0,0.0,1.0
108,590.88,651.84,1,junction,,長崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
109,709.8,574.92,1,substation_or_sw,変電所,東根,False,,PQ,4.0,1.9373,0.0,0.0,1.0
110,451.2,175.32,1,junction,,(350702),False,,PQ,0.0,0.0,0.0,0.0,1.0
111,451.2,163.92,1,generator,発電所,(350702),False,,PQ,0.0,0.0,5.0,2.4216,1.0
112,328.56,347.16,1,substation_or_sw,変電所,北鶴岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
113,306.6,361.56,1,substation_or_sw,変電所,西鶴岡,False,,PQ,4.0,1.9373,0.0,0.0,1.0
114,326.16,502.68,1,generator,発電所,(351004),False,,PQ,0.0,0.0,5.0,2.4216,1.0
115,408.36,553.08,1,generator,発電所,(350909),False,,PQ,0.0,0.0,5.0,2.4216,1.0
116,419.88,548.4,1,junction,,(350909),False,,PQ,0.0,0.0,0.0,0.0,1.0
117,395.16,526.32,1,substation_or_sw,変電所,(350902),False,,PQ,4.0,1.9373,0.0,0.0,1.0
118,407.52,522.84,1,substation_or_sw,変電所,(350902),False,,PQ,4.0,1.9373,0.0,0.0,1.0
119,502.17,950.46,0,junction,,花沢,False,,PQ,0.0,0.0,0.0,0.0,1.0
120,490.8,1006.161,1,generator,発電所,米沢,False,,PQ,0.0,0.0,5.0,2.4216,1.0
121,480.24,1014.121,1,substation_or_sw,変電所,(350604),False,,PQ,4.0,1.9373,0.0,0.0,1.0
122,606.0,1066.921,1,junction,,板谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
123,587.88,1051.241,1,substation_or_sw,開閉所,大沢(開),False,,PQ,0.0,0.0,0.0,0.0,1.0
124,564.72,1060.201,1,substation_or_sw,変電所,大沢(開),False,,PQ,4.0,1.9373,0.0,0.0,1.0
125,573.36,1039.681,1,substation_or_sw,開閉所,大沢(開),False,,PQ,0.0,0.0,0.0,0.0,1.0
126,526.62,842.4,0,substation_or_sw,開閉所,宮内,False,,PQ,0.0,0.0,0.0,0.0,1.0
127,424.32,824.58,0,substation_or_sw,変電所,長井,False,,PQ,4.0,1.9373,0.0,0.0,1.0
128,571.08,569.04,1,junction,,寒河江,False,,PQ,0.0,0.0,0.0,0.0,1.0
129,604.68,569.16,1,substation_or_sw,開閉所,谷地,False,,PQ,0.0,0.0,0.0,0.0,1.0
