line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
292N,52,105,66,50.399,False,"[[578.04, 962.281], [570.84, 954.481], [562.32, 950.64], [555.36, 948.36], [552.36, 942.84], [548.04, 943.68], [537.36, 937.32]]",actual
L0045,53,54,66,33.04,False,"[[279.72, 822.24], [283.68, 817.56], [294.12, 817.56], [297.12, 809.52], [303.72, 813.84]]",actual
243A,53,78,66,78.412,False,"[[279.24, 819.48], [282.0, 815.4], [294.0, 809.4], [323.4, 768.96], [333.12, 771.6]]",actual
L0046,53,83,66,19.32,False,"[[281.88, 823.8], [301.2, 823.8]]",actual
L0047,53,84,66,45.955,False,"[[274.32, 839.52], [311.04, 839.52], [311.219, 839.377], [311.397, 839.235], [311.572, 839.095], [311.747, 838.956], [311.919, 838.819], [312.091, 838.682], [312.261, 838.546], [312.43, 838.41], [312.598, 838.275], [312.765, 838.14], [312.931, 838.005], [313.096, 837.87], [313.261, 837.734], [313.425, 837.598], [313.588, 837.461], [313.751, 837.324], [313.914, 837.185], [314.076, 837.045], [314.238, 836.903], [314.4, 836.76], [318.84, 838.8]]",actual
243F,53,136,66,14.748,False,"[[264.48, 833.76], [270.48, 830.76], [278.52, 830.76]]",actual
261J,55,133,66,70.361,False,"[[231.6, 937.56], [243.48, 941.64], [301.08, 936.84]]",actual
272E,56,57,66,25.815,False,"[[417.72, 1051.801], [423.84, 1057.561], [423.24, 1074.961]]",actual
L0048,56,58,66,30.167,False,"[[423.72, 1058.281], [415.68, 1062.481], [411.96, 1061.041], [405.48, 1065.241], [403.32, 1068.001], [397.44, 1068.001]]",actual
L0049,56,117,66,11.433,False,"[[410.4, 1049.161], [400.08, 1054.081]]",actual
294A,59,60,66,57.287,False,"[[557.16, 996.241], [553.92, 990.361], [547.32, 995.161], [544.2, 1013.281], [541.56, 1037.161]]",actual
L0050,61,62,66,60.507,False,"[[444.48, 263.4], [455.16, 265.32], [461.76, 256.08], [484.44, 260.04], [497.04, 268.68]]",actual
L0051,62,194,66,52.694,False,"[[493.2, 265.92], [491.64, 267.6], [494.52, 275.28], [502.08, 279.24], [503.88, 285.96], [515.28, 288.0], [522.12, 291.96], [526.08, 293.4], [526.32, 296.4]]",actual
232C,63,64,66,137.2,False,"[[135.36, 614.88], [160.2, 608.28], [186.96, 612.24], [215.04, 612.24], [231.48, 616.8], [244.56, 612.24], [261.12, 613.32], [261.22, 613.672], [261.34, 614.044], [261.477, 614.433], [261.629, 614.838], [261.793, 615.255], [261.968, 615.683], [262.151, 616.12], [262.339, 616.563], [262.531, 617.01], [262.725, 617.46], [262.918, 617.91], [263.107, 618.357], [263.291, 618.8], [263.468, 619.237], [263.634, 619.665], [263.789, 620.082], [263.929, 620.487], [264.052, 620.876], [264.157, 621.248], [264.24, 621.6]]",actual
232A,64,90,66,23.346,False,"[[284.76, 622.68], [307.68, 627.12]]",actual
