bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,lat,lon,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
130,325.5,621.331,2,generator,発電所,(361112),False,,37.07654832550976,140.61491932212144,PQ,0.0,0.0,5.0,2.4216,1.0
131,536.004,391.843,2,generator,発電所,,False,,37.3576709102782,140.21963896750097,PQ,0.0,0.0,5.0,2.4216,1.0
132,511.86,414.511,2,junction,,,False,,37.32885748324588,140.26516468025142,PQ,0.0,0.0,0.0,0.0,1.0
133,619.2,84.391,1,substation_or_sw,開閉所,,False,,37.67229143198176,140.07460312948865,PQ,0.0,0.0,0.0,0.0,1.0
134,706.44,135.751,1,substation_or_sw,開閉所,,False,,37.65127637176735,139.90322541218683,PQ,0.0,0.0,0.0,0.0,1.0
135,589.74,803.731,0,substation_or_sw,変電所,(360701),False,,36.987698774417574,140.09445058347086,PQ,4.0,1.9373,0.0,0.0,1.0
136,472.68,731.791,1,substation_or_sw,開閉所,笹川,False,,37.018736740081,140.3245639976934,PQ,0.0,0.0,0.0,0.0,1.0
137,446.4,724.711,1,junction,,諏訪,False,,37.01718822561009,140.37575632937887,PQ,0.0,0.0,0.0,0.0,1.0
138,444.6,712.351,1,junction,,森宿,False,,37.028231936819196,140.3798756013914,PQ,0.0,0.0,0.0,0.0,1.0
139,660.88,457.191,1,substation_or_sw,変電所,泉町,False,,37.33525994348816,139.9747492575895,PQ,4.0,1.9373,0.0,0.0,1.0
140,368.52,460.711,3,substation_or_sw,開閉所,塙町,False,,37.24077500787952,140.5400070243569,PQ,0.0,0.0,0.0,0.0,1.0
141,347.28,448.351,1,generator,発電所,(361306),False,,37.2457558589835,140.5817242681583,PQ,0.0,0.0,5.0,2.4216,1.0
142,356.52,467.431,2,substation_or_sw,変電所,(361306),False,,37.230722939699,140.56286878691415,PQ,4.0,1.9373,0.0,0.0,1.0
143,402.9,481.111,0,substation_or_sw,変電所,塙町,False,,37.23234326092431,140.47246134104952,PQ,4.0,1.9373,0.0,0.0,1.0
144,307.68,639.991,1,substation_or_sw,1次変電所,小野新町,False,,37.0534704022806,140.64842096813766,PQ,0.0,0.0,0.0,0.0,1.0
145,460.56,445.891,0,substation_or_sw,開閉所,(360915),False,,37.28339486822175,140.36276182857145,PQ,0.0,0.0,0.0,0.0,1.0
146,399.634,353.397,1,substation_or_sw,開閉所,,False,,37.35123827576842,140.48537008806255,PQ,0.0,0.0,0.0,0.0,1.0
147,358.48,546.551,1,junction,,(360908),False,,37.15704663522479,140.55499415773897,PQ,0.0,0.0,0.0,0.0,1.0
148,263.1,406.151,2,generator,発電所,(361310),False,,37.259124724449855,140.7467109802514,PQ,0.0,0.0,5.0,2.4216,1.0
149,270.12,389.851,2,substation_or_sw,開閉所,(361310),False,,37.27661853400181,140.73397528170784,PQ,0.0,0.0,0.0,0.0,1.0
