line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0114,68,71,66,61.2,False,"[[601.2, 143.191], [607.8, 136.951], [641.28, 127.471], [641.771, 127.563], [642.372, 127.692], [643.072, 127.855], [643.857, 128.046], [644.715, 128.262], [645.635, 128.499], [646.603, 128.753], [647.608, 129.019], [648.638, 129.293], [649.68, 129.571], [650.722, 129.849], [651.752, 130.124], [652.757, 130.39], [653.725, 130.643], [654.645, 130.88], [655.503, 131.096], [656.288, 131.287], [656.987, 131.45], [657.589, 131.579], [658.08, 131.671]]",actual,8.568,0.005901,0.075334,0.00102263,50.0,
L0115,68,111,66,23.819,False,"[[599.88, 148.111], [584.28, 166.111]]",actual,3.3347,0.002297,0.02932,0.00039801,50.0,
L0116,68,133,66,74.871,False,"[[602.16, 146.431], [597.0, 119.671], [598.92, 103.471], [599.928, 102.949], [600.936, 102.427], [601.944, 101.906], [602.951, 101.384], [603.958, 100.863], [604.965, 100.342], [605.971, 99.822], [606.976, 99.303], [607.981, 98.784], [608.985, 98.266], [609.988, 97.749], [610.99, 97.233], [611.991, 96.718], [612.991, 96.204], [613.989, 95.692], [614.987, 95.181], [615.982, 94.671], [616.976, 94.163], [617.969, 93.656], [618.96, 93.151], [619.2, 84.391]]",actual,10.4819,0.007219,0.092162,0.00125107,50.0,
L0117,71,110,66,38.783,False,"[[671.52, 166.951], [671.16, 158.431], [662.88, 149.551], [660.36, 138.871], [657.36, 132.391]]",actual,5.4296,0.003739,0.04774,0.00064805,50.0,
L0118,71,151,66,13.259,False,"[[657.36, 134.071], [652.56, 146.431]]",actual,1.8563,0.001278,0.016321,0.00022155,50.0,
L0119,72,188,66,11.233,False,"[[418.56, 291.511], [415.08, 280.831]]",actual,1.5726,0.001083,0.013827,0.0001877,50.0,
L0120,73,97,66,28.585,False,"[[385.92, 440.431], [402.84, 417.391]]",actual,4.0019,0.002756,0.035187,0.00047764,50.0,
L0121,75,132,66,15.72,False,"[[512.04, 414.511], [496.32, 414.511]]",actual,2.2008,0.001516,0.01935,0.00026268,50.0,
L0122,75,160,66,47.825,False,"[[483.84, 460.351], [483.72, 444.631], [489.48, 427.591], [496.08, 415.111]]",actual,6.6955,0.004611,0.05887,0.00079914,50.0,
L0123,76,87,66,66.808,False,"[[578.76, 486.631], [517.92, 459.031]]",actual,9.3531,0.006442,0.082237,0.00111634,50.0,
685H,78,79,66,55.142,False,"[[314.4, 694.351], [272.64, 708.151], [266.04, 717.151]]",actual,7.7199,0.005317,0.067877,0.0009214,50.0,
L0124,78,88,66,40.604,False,"[[316.56, 690.751], [328.2, 682.471], [348.36, 665.551]]",actual,5.6846,0.003915,0.049981,0.00067848,50.0,
684J,80,81,66,102.176,False,"[[546.84, 752.911], [546.0, 746.431], [534.6, 735.751], [508.8, 727.471], [497.76, 719.431], [477.6, 710.311], [463.32, 719.791]]",actual,14.3046,0.009852,0.125773,0.00170732,50.0,
L0125,81,136,66,12.783,False,"[[472.68, 731.791], [464.52, 721.951]]",actual,1.7896,0.001233,0.015735,0.0002136,50.0,
