line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0019,14,15,66,44.693,False,"[[651.6, 507.6], [633.36, 510.6], [642.72, 535.08]]",actual
L0020,14,50,66,80.643,False,"[[621.24, 447.48], [629.88, 484.8], [632.76, 504.96], [654.72, 504.24]]",actual
L0021,16,17,66,19.237,False,"[[617.64, 725.4], [636.84, 724.2]]",actual
L0022,16,28,66,33.004,False,"[[582.96, 715.8], [593.64, 721.92], [614.04, 725.4]]",actual
L0023,16,134,66,12.998,False,"[[617.4, 712.08], [619.44, 716.52], [615.48, 723.6]]",actual
L0024,18,19,66,63.425,False,"[[275.16, 375.48], [280.2, 382.32], [316.32, 397.08], [322.8, 392.64], [322.963, 392.279], [323.127, 391.917], [323.293, 391.553], [323.46, 391.188], [323.629, 390.821], [323.798, 390.454], [323.968, 390.086], [324.138, 389.718], [324.309, 389.349], [324.48, 388.98], [324.651, 388.611], [324.822, 388.242], [324.992, 387.874], [325.162, 387.506], [325.331, 387.139], [325.5, 386.772], [325.667, 386.407], [325.833, 386.043], [325.997, 385.681], [326.16, 385.32]]",actual
L0025,19,39,66,101.432,False,"[[329.28, 384.6], [339.6, 394.08], [357.24, 388.2], [357.17, 386.27], [357.103, 384.4], [357.039, 382.584], [356.977, 380.815], [356.917, 379.086], [356.86, 377.39], [356.804, 375.722], [356.748, 374.075], [356.694, 372.441], [356.64, 370.815], [356.586, 369.19], [356.532, 367.559], [356.476, 365.916], [356.42, 364.254], [356.362, 362.567], [356.303, 360.848], [356.241, 359.09], [356.177, 357.287], [356.11, 355.433], [356.04, 353.52], [360.72, 350.64], [371.16, 353.64], [371.179, 352.788], [371.199, 351.924], [371.221, 351.051], [371.244, 350.169], [371.269, 349.279], [371.294, 348.383], [371.32, 347.481], [371.346, 346.576], [371.373, 345.669], [371.4, 344.76], [371.427, 343.851], [371.454, 342.944], [371.48, 342.039], [371.506, 341.137], [371.531, 340.241], [371.556, 339.351], [371.579, 338.469], [371.601, 337.596], [371.621, 336.732], [371.64, 335.88]]",actual
592A,19,83,66,100.398,False,"[[326.4, 384.84], [337.68, 398.04], [357.12, 392.16], [355.2, 408.12], [349.32, 432.84], [341.04, 452.4]]",actual
L0026,20,21,66,45.231,False,"[[307.92, 280.68], [314.04, 279.36], [344.76, 287.16], [347.04, 282.96], [345.6, 280.92]]",actual
573B,20,160,66,30.6,False,"[[314.88, 279.84], [310.2, 275.4], [302.04, 277.44], [298.32, 283.2], [289.44, 283.32]]",actual
