line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0012,21,69,66,19.107,False,"[[400.8, 570.6], [413.76, 584.64]]",actual,4.2035,0.002895,0.036959,0.00050171,50.0,
L0013,22,67,66,31.079,False,"[[381.12, 603.12], [408.0, 618.72]]",actual,6.8374,0.004709,0.060117,0.00081607,50.0,
L0014,22,76,66,28.174,False,"[[408.84, 621.6], [418.2, 621.6], [420.12, 630.72], [417.48, 639.84]]",actual,6.1983,0.004269,0.054498,0.00073979,50.0,
L0015,22,65,66,10.885,False,"[[400.08, 613.68], [397.44, 624.24]]",actual,2.3947,0.001649,0.021055,0.00028582,50.0,
221C,23,24,66,31.082,False,"[[121.8, 678.96], [121.44, 710.04]]",actual,6.838,0.004709,0.060123,0.00081615,50.0,
L0016,25,26,66,55.926,False,"[[299.52, 909.24], [299.76, 933.84], [301.08, 936.36], [317.76, 939.36], [329.04, 936.96]]",actual,12.3037,0.008474,0.10818,0.0014685,50.0,
261A,25,26,66,41.234,False,"[[301.92, 906.24], [311.28, 906.84], [311.682, 907.577], [312.164, 908.449], [312.718, 909.445], [313.339, 910.553], [314.019, 911.764], [314.752, 913.065], [315.531, 914.446], [316.349, 915.897], [317.199, 917.405], [318.075, 918.96], [318.97, 920.551], [319.877, 922.167], [320.789, 923.798], [321.7, 925.431], [322.603, 927.056], [323.491, 928.663], [324.358, 930.239], [325.196, 931.775], [325.999, 933.259], [326.76, 934.68]]",actual,9.0715,0.006248,0.079761,0.00108272,50.0,
L0017,25,126,66,17.141,False,"[[300.12, 905.76], [288.12, 903.6], [285.0, 907.44]]",actual,3.771,0.002597,0.033157,0.00045009,50.0,
L0018,25,126,66,12.241,False,"[[287.04, 917.16], [299.28, 917.04]]",actual,2.693,0.001855,0.023678,0.00032142,50.0,
L0019,25,93,66,34.786,False,"[[302.76, 902.52], [309.36, 902.52], [307.92, 895.44], [310.56, 884.64], [320.4, 884.4]]",actual,7.6529,0.005271,0.067288,0.00091341,50.0,
261B,25,129,66,13.081,False,"[[307.8, 895.2], [320.88, 895.08]]",actual,2.8778,0.001982,0.025303,0.00034348,50.0,
L0020,25,203,66,26.818,False,"[[301.68, 903.72], [287.52, 899.76], [280.8, 889.68]]",actual,5.9,0.004063,0.051875,0.00070419,50.0,
261C,26,127,66,62.376,False,"[[330.72, 936.84], [335.76, 936.24], [339.0, 931.2], [381.84, 931.2], [381.894, 930.786], [381.948, 930.372], [382.002, 929.958], [382.056, 929.543], [382.11, 929.128], [382.164, 928.713], [382.218, 928.297], [382.272, 927.88], [382.326, 927.463], [382.38, 927.045], [382.434, 926.626], [382.488, 926.206], [382.542, 925.785], [382.596, 925.363], [382.65, 924.939], [382.704, 924.515], [382.758, 924.088], [382.812, 923.661], [382.866, 923.231], [382.92, 922.8]]",actual,13.7227,0.009451,0.120657,0.00163787,50.0,
