line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0015,9,10,66,43.074,False,"[[465.36, 783.36], [460.92, 778.68], [462.24, 762.0], [477.12, 748.8]]",actual,9.907,0.006823,0.087107,0.00118245,50.0,
L0016,9,71,66,14.021,False,"[[466.2, 784.2], [467.88, 798.12]]",actual,3.2248,0.002221,0.028354,0.0003849,50.0,
L0017,10,43,66,57.081,False,"[[477.6, 746.76], [484.56, 746.76], [490.32, 748.8], [503.52, 759.36], [503.449, 759.864], [503.379, 760.368], [503.311, 760.872], [503.244, 761.375], [503.179, 761.878], [503.114, 762.381], [503.05, 762.883], [502.986, 763.384], [502.923, 763.885], [502.86, 764.385], [502.797, 764.884], [502.734, 765.382], [502.67, 765.879], [502.606, 766.375], [502.541, 766.869], [502.476, 767.363], [502.409, 767.854], [502.341, 768.345], [502.271, 768.833], [502.2, 769.32], [507.6, 776.52], [507.405, 776.866], [507.218, 777.217], [507.036, 777.575], [506.859, 777.938], [506.687, 778.305], [506.519, 778.676], [506.354, 779.049], [506.193, 779.425], [506.033, 779.802], [505.875, 780.18], [505.718, 780.558], [505.561, 780.935], [505.404, 781.311], [505.245, 781.684], [505.086, 782.055], [504.924, 782.422], [504.759, 782.785], [504.59, 783.143], [504.417, 783.494], [504.24, 783.84]]",actual,13.1286,0.009042,0.115433,0.00156696,50.0,
L0018,10,44,66,32.993,False,"[[476.52, 749.64], [481.44, 749.64], [493.8, 758.52], [494.4, 771.36]]",actual,7.5884,0.005226,0.066721,0.00090571,50.0,
L0019,10,36,66,37.508,False,"[[475.44, 747.48], [474.84, 738.48], [483.96, 721.68], [486.12, 712.56]]",actual,8.6268,0.005941,0.075851,0.00102965,50.0,
L0020,10,100,66,12.042,False,"[[462.84, 739.44], [463.374, 739.342], [463.931, 739.264], [464.508, 739.203], [465.102, 739.158], [465.711, 739.125], [466.332, 739.103], [466.962, 739.09], [467.6, 739.083], [468.241, 739.08], [468.885, 739.08], [469.528, 739.08], [470.167, 739.077], [470.8, 739.07], [471.424, 739.057], [472.037, 739.035], [472.636, 739.002], [473.218, 738.957], [473.781, 738.896], [474.323, 738.818], [474.84, 738.72]]",actual,2.7697,0.001907,0.024352,0.00033057,50.0,
L0021,11,12,66,34.552,False,"[[375.0, 1003.081], [378.24, 1007.881], [385.44, 1008.961], [406.92, 1008.961]]",actual,7.947,0.005473,0.069873,0.0009485,50.0,
L0022,11,67,66,17.486,False,"[[369.6, 1008.241], [374.04, 1015.321], [374.399, 1015.369], [374.788, 1015.405], [375.204, 1015.432], [375.645, 1015.449], [376.106, 1015.458], [376.584, 1015.46], [377.076, 1015.457], [377.579, 1015.45], [378.088, 1015.439], [378.6, 1015.426], [379.112, 1015.412], [379.621, 1015.399], [380.124, 1015.387], [380.616, 1015.377], [381.094, 1015.372], [381.555, 1015.371], [381.995, 1015.376], [382.412, 1015.389], [382.801, 1015.41], [383.16, 1015.441]]",actual,4.0218,0.00277,0.035361,0.00048002,50.0,
L0023,12,13,66,51.1,False,"[[406.92, 1009.561], [407.52, 994.081], [411.36, 986.761], [408.24, 975.361], [414.6, 961.201]]",actual,11.753,0.008094,0.103338,0.00140277,50.0,
L0024,13,72,66,48.953,False,"[[362.16, 956.641], [397.08, 956.641], [406.32, 946.08]]",actual,11.2592,0.007754,0.098996,0.00134383,50.0,
L0025,13,75,66,52.415,False,"[[413.64, 960.961], [447.36, 990.721], [451.92, 984.841]]",actual,12.0555,0.008303,0.105997,0.00143887,50.0,
L0026,13,277,66,43.638,False,"[[420.48, 941.04], [420.498, 939.599], [420.516, 938.157], [420.534, 936.712], [420.552, 935.267], [420.57, 933.819], [420.588, 932.371], [420.606, 930.921], [420.624, 929.47], [420.642, 928.018], [420.66, 926.565], [420.678, 925.111], [420.696, 923.656], [420.714, 922.201], [420.732, 920.745], [420.75, 919.288], [420.768, 917.831], [420.786, 916.374], [420.804, 914.916], [420.822, 913.458], [420.84, 912.0], [423.24, 905.88], [419.569, 898.748]]",actual,10.0367,0.006912,0.088248,0.00119793,50.0,
L0027,14,15,66,44.757,False,"[[438.72, 857.16], [438.737, 857.742], [438.753, 858.301], [438.766, 858.84], [438.779, 859.361], [438.789, 859.868], [438.799, 860.361], [438.807, 860.845], [438.814, 861.321], [438.82, 861.792], [438.825, 862.26], [438.829, 862.728], [438.832, 863.199], [438.835, 863.675], [438.837, 864.159], [438.838, 864.653], [438.839, 865.159], [438.84, 865.68], [438.84, 866.219], [438.84, 866.778], [438.84, 867.36], [455.64, 873.0], [465.72, 879.72], [465.756, 879.954], [465.792, 880.188], [465.828, 880.422], [465.863, 880.656], [465.898, 880.89], [465.933, 881.124], [465.967, 881.358], [466.0, 881.592], [466.033, 881.826], [466.065, 882.06], [466.096, 882.294], [466.126, 882.528], [466.155, 882.762], [466.183, 882.996], [466.209, 883.23], [466.235, 883.464], [466.258, 883.698], [466.28, 883.932], [466.301, 884.166], [466.32, 884.4]]",actual,10.2941,0.00709,0.090511,0.00122865,50.0,
L0028,14,16,66,29.428,False,"[[445.92, 830.76], [447.24, 836.16], [439.32, 852.0], [439.269, 852.198], [439.225, 852.431], [439.187, 852.693], [439.154, 852.982], [439.125, 853.294], [439.1, 853.624], [439.077, 853.97], [439.057, 854.327], [439.038, 854.692], [439.02, 855.06], [439.002, 855.428], [438.983, 855.793], [438.963, 856.15], [438.94, 856.496], [438.915, 856.826], [438.886, 857.138], [438.853, 857.427], [438.815, 857.689], [438.771, 857.922], [438.72, 858.12]]",actual,6.7684,0.004661,0.059511,0.00080784,50.0,
L0029,14,90,66,13.477,False,"[[439.2, 857.64], [434.64, 861.24], [432.36, 868.56]]",actual,3.0997,0.002135,0.027254,0.00036996,50.0,
L0030,14,111,66,31.92,False,"[[424.44, 829.44], [424.44, 861.36]]",actual,7.3416,0.005056,0.064551,0.00087625,50.0,
L0031,14,277,66,42.133,False,"[[419.569, 898.748], [419.04, 897.72], [414.84, 873.24], [416.28, 863.16], [421.92, 861.24]]",actual,9.6906,0.006674,0.085204,0.00115661,50.0,
L0032,15,68,66,24.925,False,"[[467.52, 885.72], [470.28, 883.2], [478.56, 888.96], [480.72, 894.84], [485.52, 895.44]]",actual,5.7328,0.003948,0.050405,0.00068423,50.0,
L0033,16,17,66,38.358,False,"[[424.44, 818.16], [424.44, 829.68], [431.52, 836.16], [440.16, 830.16], [440.674, 830.161], [441.171, 830.163], [441.651, 830.167], [442.115, 830.173], [442.56, 830.179], [442.987, 830.186], [443.397, 830.194], [443.787, 830.202], [444.158, 830.211], [444.51, 830.22], [444.842, 830.229], [445.154, 830.238], [445.445, 830.246], [445.716, 830.254], [445.965, 830.261], [446.193, 830.268], [446.398, 830.273], [446.582, 830.277], [446.742, 830.279], [446.88, 830.28]]",actual,8.8223,0.006076,0.07757,0.00105299,50.0,
L0034,16,17,66,33.926,False,"[[426.0, 817.56], [427.8, 820.44], [427.8, 829.56], [431.52, 832.68], [439.8, 827.28], [446.4, 828.24]]",actual,7.803,0.005374,0.068607,0.00093132,50.0,
L0035,16,70,66,21.346,False,"[[438.84, 827.76], [439.8, 824.28], [441.96, 821.28], [446.76, 818.16], [449.64, 810.36]]",actual,4.9096,0.003381,0.043167,0.00058598,50.0,
L0036,17,64,66,59.386,False,"[[374.64, 835.68], [398.04, 833.64], [413.88, 831.72], [416.64, 829.2], [420.0, 826.8], [420.0, 820.92], [425.28, 817.68]]",actual,13.6588,0.009407,0.120094,0.00163024,50.0,
L0037,17,103,66,11.523,False,"[[412.32, 817.44], [423.84, 817.2]]",actual,2.6503,0.001825,0.023303,0.00031632,50.0,
L0038,18,19,66,44.273,False,"[[426.6, 1087.321], [431.64, 1077.961], [432.36, 1073.041], [430.2, 1065.001], [424.56, 1055.161], [424.507, 1054.776], [424.421, 1054.378], [424.306, 1053.969], [424.166, 1053.55], [424.005, 1053.123], [423.826, 1052.689], [423.632, 1052.25], [423.427, 1051.807], [423.215, 1051.362], [423.0, 1050.916], [422.785, 1050.471], [422.573, 1050.029], [422.368, 1049.59], [422.174, 1049.158], [421.995, 1048.732], [421.834, 1048.314], [421.694, 1047.907], [421.579, 1047.511], [421.493, 1047.129], [421.44, 1046.761]]",actual,10.1828,0.007013,0.089532,0.00121536,50.0,
L0039,19,61,66,22.005,False,"[[438.84, 1019.881], [448.44, 1000.081]]",actual,5.0611,0.003486,0.0445,0.00060407,50.0,
L0040,19,83,66,14.178,False,"[[432.36, 1043.041], [444.12, 1050.961]]",actual,3.2609,0.002246,0.028672,0.00038921,50.0,
L0041,20,21,66,86.161,False,"[[152.64, 806.64], [170.4, 807.12], [218.28, 855.96]]",actual,19.817,0.013648,0.174241,0.00236525,50.0,
L0042,20,173,66,13.37,False,"[[158.64, 793.68], [146.88, 800.04]]",actual,3.0751,0.002118,0.027038,0.00036703,50.0,
L0043,20,185,66,41.715,False,"[[132.72, 775.08], [135.0, 779.88], [129.12, 781.44], [127.44, 784.8], [127.475, 784.997], [127.509, 785.193], [127.54, 785.387], [127.571, 785.58], [127.599, 785.771], [127.627, 785.962], [127.653, 786.152], [127.678, 786.342], [127.702, 786.531], [127.725, 786.72], [127.747, 786.909], [127.768, 787.098], [127.789, 787.288], [127.809, 787.478], [127.828, 787.669], [127.847, 787.86], [127.866, 788.053], [127.884, 788.247], [127.902, 788.443], [127.92, 788.64], [130.8, 792.96], [142.08, 799.68], [146.16, 798.12]]",actual,9.5945,0.006608,0.084359,0.00114514,50.0,
