line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
332A,9,10,66,121.486,False,"[[310.44, 442.32], [344.16, 439.2], [405.84, 442.32], [420.84, 447.6], [430.8, 447.48]]",actual,23.0823,0.015897,0.202951,0.00275498,50.0,
L0013,9,31,66,53.104,False,"[[312.84, 441.84], [318.24, 431.4], [318.84, 417.6], [311.04, 400.68], [319.68, 398.52]]",actual,10.0898,0.006949,0.088714,0.00120426,50.0,
331F,9,62,66,91.167,False,"[[308.4, 441.84], [298.8, 441.84], [288.36, 440.4], [287.321, 440.119], [286.121, 439.815], [284.774, 439.49], [283.293, 439.146], [281.692, 438.784], [279.986, 438.404], [278.186, 438.009], [276.308, 437.599], [274.365, 437.175], [272.37, 436.74], [270.337, 436.294], [268.281, 435.838], [266.213, 435.374], [264.15, 434.903], [262.102, 434.426], [260.086, 433.945], [258.114, 433.46], [256.2, 432.974], [254.357, 432.487], [252.6, 432.0], [245.64, 428.52], [245.238, 428.363], [244.823, 428.216], [244.396, 428.077], [243.957, 427.946], [243.506, 427.821], [243.044, 427.7], [242.57, 427.584], [242.084, 427.47], [241.588, 427.357], [241.08, 427.245], [240.562, 427.132], [240.033, 427.017], [239.493, 426.898], [238.944, 426.775], [238.384, 426.647], [237.814, 426.512], [237.235, 426.369], [236.646, 426.216], [236.047, 426.054], [235.44, 425.88], [227.88, 425.64], [221.16, 420.6]]",actual,17.3217,0.01193,0.152301,0.00206742,50.0,
L0014,11,12,66,88.965,False,"[[314.52, 320.76], [303.96, 319.56], [305.04, 312.24], [308.52, 305.28], [312.0, 294.24], [275.4, 279.84], [268.8, 269.52]]",actual,16.9033,0.011641,0.148622,0.00201749,50.0,
331D,11,31,66,91.742,False,"[[317.64, 396.0], [309.84, 397.2], [302.88, 374.04], [300.96, 362.4], [298.56, 354.96], [301.68, 340.68], [303.6, 324.24], [312.48, 324.0]]",actual,17.431,0.012005,0.153261,0.00208046,50.0,
L0015,12,32,66,38.992,False,"[[271.44, 267.48], [287.4, 261.96], [293.28, 257.76], [290.88, 254.04], [281.16, 250.2]]",actual,7.4085,0.005102,0.065139,0.00088423,50.0,
L0016,12,58,66,12.494,False,"[[256.32, 267.48], [268.8, 268.08]]",actual,2.3739,0.001635,0.020872,0.00028333,50.0,
L0017,12,159,66,10.44,False,"[[268.08, 269.52], [260.88, 277.08]]",actual,1.9836,0.001366,0.017441,0.00023675,50.0,
L0018,12,214,33,18.573,False,"[[268.8, 268.08], [280.32, 268.44], [285.48, 273.24]]",actual,3.5289,0.018373,0.126378,0.00011529,20.0,
L0019,13,14,66,132.74,False,"[[460.32, 633.36], [460.629, 633.105], [460.942, 632.843], [461.26, 632.575], [461.581, 632.302], [461.906, 632.025], [462.234, 631.744], [462.563, 631.461], [462.895, 631.175], [463.227, 630.888], [463.56, 630.6], [463.893, 630.312], [464.225, 630.025], [464.557, 629.739], [464.886, 629.456], [465.214, 629.175], [465.539, 628.898], [465.86, 628.625], [466.178, 628.357], [466.491, 628.096], [466.8, 627.84], [466.905, 627.196], [467.003, 626.557], [467.095, 625.925], [467.182, 625.298], [467.265, 624.675], [467.344, 624.056], [467.421, 623.439], [467.495, 622.825], [467.568, 622.212], [467.64, 621.6], [467.712, 620.988], [467.785, 620.375], [467.859, 619.761], [467.936, 619.144], [468.015, 618.525], [468.098, 617.902], [468.185, 617.275], [468.277, 616.643], [468.375, 616.005], [468.48, 615.36], [476.28, 608.16], [508.68, 608.16], [540.0, 605.4], [566.4, 599.88], [576.6, 599.52]]",actual,25.2206,0.01737,0.221751,0.00301019,50.0,
