line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
313E,24,25,66,160.301,False,"[[425.76, 243.96], [420.24, 239.64], [420.005, 239.011], [419.769, 238.383], [419.531, 237.757], [419.292, 237.132], [419.051, 236.509], [418.81, 235.886], [418.568, 235.264], [418.326, 234.642], [418.083, 234.021], [417.84, 233.4], [417.597, 232.779], [417.354, 232.158], [417.112, 231.536], [416.87, 230.914], [416.629, 230.291], [416.388, 229.668], [416.149, 229.043], [415.911, 228.417], [415.675, 227.789], [415.44, 227.16], [464.28, 211.08], [473.64, 210.72], [488.52, 212.28], [498.12, 229.08], [512.28, 237.0], [525.36, 238.2], [532.68, 236.4], [532.782, 236.026], [532.907, 235.657], [533.052, 235.295], [533.215, 234.938], [533.392, 234.585], [533.583, 234.236], [533.783, 233.889], [533.991, 233.545], [534.204, 233.202], [534.42, 232.86], [534.636, 232.518], [534.849, 232.175], [535.057, 231.831], [535.257, 231.484], [535.447, 231.135], [535.625, 230.782], [535.788, 230.425], [535.933, 230.063], [536.058, 229.695], [536.16, 229.32]]",actual
313M,24,28,66,71.988,False,"[[427.44, 243.48], [422.76, 248.28], [432.6, 264.48], [431.16, 275.28], [419.4, 292.44], [415.8, 299.52], [416.138, 299.677], [416.467, 299.824], [416.79, 299.962], [417.106, 300.092], [417.416, 300.216], [417.722, 300.333], [418.025, 300.446], [418.325, 300.555], [418.623, 300.661], [418.92, 300.765], [419.217, 300.868], [419.515, 300.972], [419.815, 301.076], [420.118, 301.182], [420.424, 301.292], [420.734, 301.405], [421.05, 301.524], [421.373, 301.649], [421.702, 301.78], [422.04, 301.92]]",actual
L0028,25,39,66,45.043,False,"[[537.72, 230.4], [546.24, 260.04], [546.263, 260.62], [546.296, 261.24], [546.338, 261.896], [546.387, 262.584], [546.442, 263.299], [546.504, 264.036], [546.569, 264.791], [546.637, 265.56], [546.708, 266.338], [546.78, 267.12], [546.852, 267.902], [546.923, 268.68], [546.991, 269.449], [547.056, 270.204], [547.118, 270.941], [547.173, 271.656], [547.222, 272.344], [547.264, 273.0], [547.297, 273.62], [547.32, 274.2]]",actual
L0029,26,27,66,27.009,False,"[[138.6, 535.92], [135.96, 509.04]]",actual
L0030,26,126,66,16.211,False,"[[148.92, 521.88], [148.32, 538.08]]",actual
L0031,28,74,66,115.82,False,"[[421.68, 304.08], [414.84, 304.44], [415.92, 312.84], [434.64, 319.92], [452.76, 362.28], [473.4, 378.24], [473.468, 377.719], [473.53, 377.234], [473.586, 376.78], [473.637, 376.354], [473.683, 375.951], [473.725, 375.567], [473.764, 375.199], [473.799, 374.842], [473.833, 374.492], [473.865, 374.145], [473.896, 373.797], [473.927, 373.445], [473.958, 373.083], [473.991, 372.709], [474.024, 372.317], [474.06, 371.904], [474.099, 371.466], [474.142, 370.999], [474.189, 370.498], [474.24, 369.96]]",actual
351B,29,30,66,22.595,False,"[[358.2, 564.36], [380.64, 561.72]]",actual
L0032,29,193,66,24.874,False,"[[340.08, 582.84], [357.12, 564.72]]",actual
L0033,31,166,66,30.127,False,"[[318.6, 395.4], [318.583, 394.802], [318.567, 394.195], [318.553, 393.582], [318.54, 392.962], [318.529, 392.336], [318.518, 391.706], [318.508, 391.073], [318.498, 390.437], [318.489, 389.799], [318.48, 389.16], [318.471, 388.521], [318.462, 387.883], [318.452, 387.247], [318.442, 386.614], [318.431, 385.984], [318.42, 385.358], [318.407, 384.738], [318.393, 384.125], [318.377, 383.518], [318.36, 382.92], [319.197, 382.918], [320.049, 382.913], [320.916, 382.905], [321.796, 382.894], [322.686, 382.881], [323.584, 382.865], [324.489, 382.847], [325.399, 382.828], [326.311, 382.807], [327.225, 382.785], [328.138, 382.762], [329.048, 382.739], [329.953, 382.715], [330.852, 382.691], [331.742, 382.667], [332.622, 382.644], [333.489, 382.621], [334.343, 382.599], [335.18, 382.579], [336.0, 382.56]]",actual
L0034,32,33,66,118.584,False,"[[281.64, 248.16], [293.52, 252.36], [293.629, 252.575], [293.739, 252.789], [293.851, 253.0], [293.964, 253.211], [294.079, 253.419], [294.194, 253.627], [294.31, 253.833], [294.426, 254.038], [294.543, 254.242], [294.66, 254.445], [294.777, 254.647], [294.894, 254.848], [295.01, 255.049], [295.126, 255.249], [295.241, 255.448], [295.356, 255.647], [295.469, 255.846], [295.581, 256.044], [295.691, 256.242], [295.8, 256.44], [327.36, 242.4], [360.24, 242.52], [365.4, 258.48], [365.917, 258.071], [366.493, 257.638], [367.121, 257.183], [367.794, 256.71], [368.507, 256.221], [369.252, 255.718], [370.024, 255.206], [370.816, 254.686], [371.622, 254.162], [372.435, 253.635], [373.249, 253.109], [374.057, 252.588], [374.854, 252.072], [375.632, 251.566], [376.386, 251.072], [377.108, 250.593], [377.793, 250.131], [378.435, 249.69], [379.026, 249.272], [379.56, 248.88]]",actual
