bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
165,268.8,534.48,1,generator,発電所,八橋,False,
166,336.0,382.56,1,substation_or_sw,開閉所,八郎潟,False,
167,569.76,139.2,1,junction,,,True,N
168,563.4,210.72,1,junction,,釈迦内,False,
169,297.48,302.16,1,generator,発電所,(330204),False,
170,234.72,415.56,1,generator,発電所,(330303),False,
171,492.48,621.6,1,generator,発電所,(330804),False,
172,486.24,607.92,1,junction,,(330804),True,unknown
173,587.16,939.72,1,generator,発電所,(330701),False,
174,306.72,239.76,1,generator,発電所,(330210),False,
175,306.72,251.52,1,junction,,(330210),False,
176,269.64,493.56,1,generator,発電所,(330304),False,
177,280.68,817.32,1,junction,,(330610),False,
178,286.32,805.08,1,generator,発電所,(330609),False,
179,290.64,370.44,1,generator,発電所,(330301),False,
180,303.24,369.84,1,junction,,(330301),True,unknown
181,247.08,779.76,1,generator,発電所,由利,False,
182,208.68,780.72,1,generator,発電所,平沢,False,
183,520.56,801.12,1,junction,,羽後増田,False,
184,528.96,457.68,1,junction,,(330107),True,unknown
185,544.04,454.2,1,generator,発電所,楢森,False,
186,480.48,221.88,1,substation_or_sw,開閉所,岩瀬,False,
187,492.48,218.16,1,substation_or_sw,変電所,岩瀬,False,
188,659.44,275.24,3,substation_or_sw,1次変電所,花輪,False,
189,646.44,373.2,1,generator,発電所,(330112),False,
190,657.96,296.88,1,junction,,花輪,True,E/N
191,665.52,316.2,1,generator,発電所,(330111),False,
192,310.76,576.32,3,substation_or_sw,開閉所,中央,False,
193,338.32,581.84,3,substation_or_sw,開閉所,南通,False,
194,332.52,559.08,1,substation_or_sw,開閉所,広小路,False,
195,323.16,266.64,1,substation_or_sw,変電所,能代,False,
196,118.56,585.24,1,junction,,(330402),False,
197,102.24,409.26,2,substation_or_sw,開閉所,男鹿(配),False,
198,120.36,405.6,1,generator,発電所,(330307),False,
199,555.6,699.6,1,substation_or_sw,変電所,美入野,False,
200,557.76,709.56,1,substation_or_sw,変電所,美入野,False,
201,260.64,697.08,1,generator,発電所,岩城亀田,False,
202,289.92,782.52,1,generator,発電所,(330602),False,
203,248.88,180.12,1,generator,発電所,八森,False,
204,366.48,892.2,1,generator,発電所,(330616),False,
205,687.48,323.76,1,generator,発電所,(330114),False,
206,661.08,337.2,1,generator,発電所,(330111),False,
207,669.24,354.96,1,generator,発電所,(330115),False,
208,180.96,846.96,1,generator,発電所,象潟,False,
209,142.68,449.34,2,substation_or_sw,変電所,(330306),False,
210,307.08,511.44,1,substation_or_sw,1次変電所,土崎,False,
211,543.6,937.32,1,generator,発電所,(330702),False,
212,266.76,848.34,2,generator,発電所,(330606),False,
213,136.68,459.72,1,generator,発電所,(330306),False,
214,285.72,273.42,2,junction,,能代東,False,
