bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
88,580.72,1051.792,1,substation_or_sw,開閉所,佐井,False,,PQ,0.0,0.0,0.0,0.0,1.0
89,641.88,1025.432,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
90,666.86,731.071,2,substation_or_sw,開閉所,石江,False,,PQ,0.0,0.0,0.0,0.0,1.0
91,469.22,484.331,2,generator,発電所,(311003),False,,PQ,0.0,0.0,5.0,2.4216,1.0
92,456.24,474.151,1,substation_or_sw,変電所,(311003),False,,PQ,4.0,1.9373,0.0,0.0,1.0
93,527.16,809.911,1,junction,,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0
94,526.8,798.871,1,substation_or_sw,変電所,小湊,False,,PQ,4.0,1.9373,0.0,0.0,1.0
95,548.88,807.631,1,junction,,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0
96,548.88,797.431,1,substation_or_sw,開閉所,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0
97,573.3,354.811,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
98,546.06,338.791,2,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
99,567.84,332.959,1,substation_or_sw,変電所,,False,,PQ,4.0,1.9373,0.0,0.0,1.0
100,430.64,804.311,1,substation_or_sw,開閉所,(310405),False,,PQ,0.0,0.0,0.0,0.0,1.0
101,448.92,804.751,2,junction,,(310405),False,,PQ,0.0,0.0,0.0,0.0,1.0
102,262.98,340.381,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
103,199.92,528.271,1,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0
104,190.32,515.911,1,substation_or_sw,開閉所,小中野,False,,PQ,0.0,0.0,0.0,0.0,1.0
105,488.52,465.151,3,substation_or_sw,開閉所,(311003),False,,PQ,0.0,0.0,0.0,0.0,1.0
106,497.04,451.711,2,substation_or_sw,開閉所,田子(配),False,,PQ,0.0,0.0,0.0,0.0,1.0
107,506.46,440.821,4,substation_or_sw,開閉所,田子(配),False,,PQ,0.0,0.0,0.0,0.0,1.0
108,743.88,717.151,1,junction,,五所川原,True,E,PQ,0.0,0.0,0.0,0.0,1.0
109,129.96,448.831,1,substation_or_sw,開閉所,(311013),False,,PQ,0.0,0.0,0.0,0.0,1.0
