line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0027,14,15,66,44.757,False,"[[438.72, 857.16], [438.737, 857.742], [438.753, 858.301], [438.766, 858.84], [438.779, 859.361], [438.789, 859.868], [438.799, 860.361], [438.807, 860.845], [438.814, 861.321], [438.82, 861.792], [438.825, 862.26], [438.829, 862.728], [438.832, 863.199], [438.835, 863.675], [438.837, 864.159], [438.838, 864.653], [438.839, 865.159], [438.84, 865.68], [438.84, 866.219], [438.84, 866.778], [438.84, 867.36], [455.64, 873.0], [465.72, 879.72], [465.756, 879.954], [465.792, 880.188], [465.828, 880.422], [465.863, 880.656], [465.898, 880.89], [465.933, 881.124], [465.967, 881.358], [466.0, 881.592], [466.033, 881.826], [466.065, 882.06], [466.096, 882.294], [466.126, 882.528], [466.155, 882.762], [466.183, 882.996], [466.209, 883.23], [466.235, 883.464], [466.258, 883.698], [466.28, 883.932], [466.301, 884.166], [466.32, 884.4]]",actual
L0028,14,16,66,29.428,False,"[[445.92, 830.76], [447.24, 836.16], [439.32, 852.0], [439.269, 852.198], [439.225, 852.431], [439.187, 852.693], [439.154, 852.982], [439.125, 853.294], [439.1, 853.624], [439.077, 853.97], [439.057, 854.327], [439.038, 854.692], [439.02, 855.06], [439.002, 855.428], [438.983, 855.793], [438.963, 856.15], [438.94, 856.496], [438.915, 856.826], [438.886, 857.138], [438.853, 857.427], [438.815, 857.689], [438.771, 857.922], [438.72, 858.12]]",actual
L0029,14,90,66,13.477,False,"[[439.2, 857.64], [434.64, 861.24], [432.36, 868.56]]",actual
L0030,14,111,66,31.92,False,"[[424.44, 829.44], [424.44, 861.36]]",actual
L0031,14,277,66,42.133,False,"[[419.569, 898.748], [419.04, 897.72], [414.84, 873.24], [416.28, 863.16], [421.92, 861.24]]",actual
L0032,15,68,66,24.925,False,"[[467.52, 885.72], [470.28, 883.2], [478.56, 888.96], [480.72, 894.84], [485.52, 895.44]]",actual
L0033,16,17,66,38.358,False,"[[424.44, 818.16], [424.44, 829.68], [431.52, 836.16], [440.16, 830.16], [440.674, 830.161], [441.171, 830.163], [441.651, 830.167], [442.115, 830.173], [442.56, 830.179], [442.987, 830.186], [443.397, 830.194], [443.787, 830.202], [444.158, 830.211], [444.51, 830.22], [444.842, 830.229], [445.154, 830.238], [445.445, 830.246], [445.716, 830.254], [445.965, 830.261], [446.193, 830.268], [446.398, 830.273], [446.582, 830.277], [446.742, 830.279], [446.88, 830.28]]",actual
L0034,16,17,66,33.926,False,"[[426.0, 817.56], [427.8, 820.44], [427.8, 829.56], [431.52, 832.68], [439.8, 827.28], [446.4, 828.24]]",actual
L0035,16,70,66,21.346,False,"[[438.84, 827.76], [439.8, 824.28], [441.96, 821.28], [446.76, 818.16], [449.64, 810.36]]",actual
L0036,17,64,66,59.386,False,"[[374.64, 835.68], [398.04, 833.64], [413.88, 831.72], [416.64, 829.2], [420.0, 826.8], [420.0, 820.92], [425.28, 817.68]]",actual
L0037,17,103,66,11.523,False,"[[412.32, 817.44], [423.84, 817.2]]",actual
L0038,18,19,66,44.273,False,"[[426.6, 1087.321], [431.64, 1077.961], [432.36, 1073.041], [430.2, 1065.001], [424.56, 1055.161], [424.507, 1054.776], [424.421, 1054.378], [424.306, 1053.969], [424.166, 1053.55], [424.005, 1053.123], [423.826, 1052.689], [423.632, 1052.25], [423.427, 1051.807], [423.215, 1051.362], [423.0, 1050.916], [422.785, 1050.471], [422.573, 1050.029], [422.368, 1049.59], [422.174, 1049.158], [421.995, 1048.732], [421.834, 1048.314], [421.694, 1047.907], [421.579, 1047.511], [421.493, 1047.129], [421.44, 1046.761]]",actual
L0039,19,61,66,22.005,False,"[[438.84, 1019.881], [448.44, 1000.081]]",actual
L0040,19,83,66,14.178,False,"[[432.36, 1043.041], [444.12, 1050.961]]",actual
L0041,20,21,66,86.161,False,"[[152.64, 806.64], [170.4, 807.12], [218.28, 855.96]]",actual
L0042,20,173,66,13.37,False,"[[158.64, 793.68], [146.88, 800.04]]",actual
L0043,20,185,66,41.715,False,"[[132.72, 775.08], [135.0, 779.88], [129.12, 781.44], [127.44, 784.8], [127.475, 784.997], [127.509, 785.193], [127.54, 785.387], [127.571, 785.58], [127.599, 785.771], [127.627, 785.962], [127.653, 786.152], [127.678, 786.342], [127.702, 786.531], [127.725, 786.72], [127.747, 786.909], [127.768, 787.098], [127.789, 787.288], [127.809, 787.478], [127.828, 787.669], [127.847, 787.86], [127.866, 788.053], [127.884, 788.247], [127.902, 788.443], [127.92, 788.64], [130.8, 792.96], [142.08, 799.68], [146.16, 798.12]]",actual
L0044,22,23,66,76.633,False,"[[114.6, 788.28], [114.564, 789.395], [114.528, 790.509], [114.492, 791.621], [114.455, 792.732], [114.418, 793.841], [114.381, 794.95], [114.343, 796.058], [114.304, 797.166], [114.265, 798.273], [114.225, 799.38], [114.184, 800.487], [114.142, 801.594], [114.099, 802.702], [114.055, 803.81], [114.009, 804.919], [113.963, 806.028], [113.914, 807.139], [113.865, 808.251], [113.813, 809.365], [113.76, 810.48], [133.68, 861.12]]",actual
L0045,23,180,66,46.834,False,"[[148.44, 904.08], [141.48, 865.68], [136.08, 860.04]]",actual
L0046,23,180,66,46.391,False,"[[144.12, 905.16], [136.68, 866.76], [135.0, 859.68]]",actual
L0047,23,180,66,46.477,False,"[[139.44, 905.28], [132.0, 867.12], [134.76, 860.04]]",actual
L0048,23,181,66,74.629,False,"[[61.68, 873.24], [73.8, 869.4], [124.44, 868.32], [133.2, 861.24]]",actual
L0049,23,182,66,74.727,False,"[[92.88, 821.16], [97.8, 814.8], [102.0, 815.28], [101.999, 816.146], [101.997, 817.015], [101.993, 817.887], [101.988, 818.761], [101.981, 819.638], [101.974, 820.516], [101.966, 821.396], [101.958, 822.277], [101.949, 823.158], [101.94, 824.04], [101.931, 824.922], [101.922, 825.804], [101.914, 826.684], [101.906, 827.564], [101.899, 828.443], [101.892, 829.319], [101.887, 830.193], [101.883, 831.065], [101.881, 831.934], [101.88, 832.8], [127.2, 859.8], [135.12, 860.04]]",actual
L0050,23,183,66,66.69,False,"[[63.72, 859.08], [73.32, 862.8], [83.52, 861.96], [96.12, 862.68], [125.28, 863.4], [125.406, 863.22], [125.532, 863.04], [125.658, 862.86], [125.785, 862.681], [125.912, 862.502], [126.039, 862.323], [126.167, 862.145], [126.296, 861.968], [126.425, 861.791], [126.555, 861.615], [126.686, 861.44], [126.818, 861.266], [126.951, 861.093], [127.085, 860.921], [127.221, 860.751], [127.357, 860.581], [127.496, 860.414], [127.635, 860.248], [127.777, 860.083], [127.92, 859.92]]",actual
L0051,23,171,66,79.822,False,"[[98.64, 799.56], [98.605, 800.064], [98.571, 800.568], [98.54, 801.072], [98.509, 801.576], [98.481, 802.08], [98.453, 802.584], [98.427, 803.088], [98.402, 803.592], [98.378, 804.096], [98.355, 804.6], [98.333, 805.104], [98.312, 805.608], [98.291, 806.112], [98.271, 806.616], [98.252, 807.12], [98.233, 807.624], [98.214, 808.128], [98.196, 808.632], [98.178, 809.136], [98.16, 809.64], [109.32, 810.36], [117.24, 840.6], [129.12, 858.12], [134.64, 860.76]]",actual
L0052,23,175,66,50.572,False,"[[125.04, 811.2], [125.005, 811.955], [124.971, 812.709], [124.94, 813.461], [124.909, 814.212], [124.881, 814.961], [124.853, 815.71], [124.827, 816.458], [124.802, 817.206], [124.778, 817.953], [124.755, 818.7], [124.733, 819.447], [124.712, 820.194], [124.691, 820.942], [124.671, 821.69], [124.652, 822.439], [124.633, 823.188], [124.614, 823.939], [124.596, 824.691], [124.578, 825.445], [124.56, 826.2], [135.12, 860.16]]",actual
L0053,23,169,66,108.928,False,"[[180.36, 771.48], [183.84, 776.76], [181.44, 779.04], [183.96, 781.68], [169.8, 793.44], [156.36, 811.2], [156.386, 811.394], [156.426, 811.614], [156.48, 811.857], [156.544, 812.12], [156.619, 812.4], [156.701, 812.695], [156.79, 813.001], [156.884, 813.316], [156.981, 813.636], [157.08, 813.96], [157.179, 814.284], [157.276, 814.604], [157.37, 814.919], [157.459, 815.225], [157.541, 815.52], [157.616, 815.8], [157.68, 816.063], [157.734, 816.306], [157.774, 816.526], [157.8, 816.72], [156.72, 827.04], [140.28, 847.2], [136.32, 859.44]]",actual
711N,24,25,66,33.134,False,"[[631.56, 506.4], [610.2, 489.6], [610.26, 489.406], [610.332, 489.186], [610.413, 488.943], [610.503, 488.679], [610.601, 488.398], [610.705, 488.102], [610.815, 487.794], [610.928, 487.477], [611.043, 487.153], [611.16, 486.825], [611.277, 486.497], [611.392, 486.17], [611.505, 485.848], [611.615, 485.534], [611.719, 485.229], [611.817, 484.938], [611.907, 484.663], [611.988, 484.406], [612.06, 484.171], [612.12, 483.96]]",actual
751D,26,27,66,75.624,False,"[[656.88, 669.6], [666.0, 665.64], [682.92, 649.08], [694.68, 644.4], [699.24, 638.52], [714.24, 633.84], [717.48, 628.56]]",actual
751A,26,42,66,24.145,False,"[[633.48, 666.96], [657.48, 669.6]]",actual
711D,29,32,66,58.607,False,"[[664.68, 393.72], [668.64, 398.04], [663.48, 408.6], [659.16, 425.4], [656.64, 432.24], [652.56, 448.08]]",actual
L0054,29,74,66,13.464,False,"[[652.56, 450.84], [663.36, 458.88]]",actual
733A,30,120,66,49.907,False,"[[672.48, 519.48], [681.84, 519.48], [688.92, 528.6], [693.96, 557.16]]",actual
711Q,30,54,66,63.395,False,"[[635.16, 489.84], [639.48, 485.16], [648.6, 483.24], [650.64, 478.8], [657.0, 478.8], [659.88, 484.56], [669.84, 512.88]]",actual
711K,32,33,66,56.947,False,"[[665.4, 393.12], [680.04, 397.2], [721.32, 390.96]]",actual
711H,32,250,33,31.949,False,"[[663.12, 395.28], [678.36, 367.2]]",actual
711G,33,53,66,30.685,False,"[[711.84, 392.64], [712.44, 386.52], [736.2, 380.4]]",actual
731E,34,35,66,101.172,False,"[[678.24, 459.6], [681.48, 466.8], [692.4, 474.0], [702.0, 477.96], [729.0, 499.68], [757.2, 478.68]]",actual
711M,34,74,66,17.16,False,"[[663.36, 458.88], [680.52, 458.88]]",actual
712E,35,117,66,39.184,False,"[[756.24, 481.2], [755.64, 485.88], [785.76, 491.04], [786.48, 487.2]]",actual
762F,36,38,66,60.178,False,"[[552.84, 640.56], [548.04, 652.68], [532.44, 666.96], [524.4, 670.32], [519.48, 682.44], [515.88, 680.28]]",actual
L0055,36,93,66,11.088,False,"[[481.08, 685.92], [479.16, 675.0]]",actual
L0056,36,94,66,32.868,False,"[[424.44, 721.32], [433.08, 706.08], [443.16, 706.08], [445.8, 701.52]]",actual
761G,36,99,66,13.616,False,"[[501.72, 679.56], [509.52, 668.4]]",actual
761C,37,38,66,29.438,False,"[[546.84, 613.56], [544.32, 627.96], [552.12, 640.56]]",actual
7605,38,246,33,44.859,False,"[[559.92, 651.72], [566.4, 661.68], [568.44, 671.88], [574.2, 683.76], [583.56, 684.24]]",actual
762G,39,40,66,65.958,False,"[[604.32, 699.72], [597.0, 681.84], [598.8, 676.56], [611.16, 671.16], [614.16, 654.6], [614.76, 648.72], [615.96, 644.04]]",actual
717,41,42,66,71.859,False,"[[582.96, 626.88], [619.2, 645.96], [622.44, 656.4], [623.64, 665.64], [627.6, 666.96], [634.08, 666.96]]",actual
762A,41,119,66,17.322,False,"[[590.28, 631.2], [596.28, 622.44], [594.36, 619.56], [594.198, 619.559], [594.036, 619.557], [593.874, 619.553], [593.712, 619.548], [593.55, 619.541], [593.388, 619.534], [593.226, 619.526], [593.064, 619.518], [592.902, 619.509], [592.74, 619.5], [592.578, 619.491], [592.416, 619.482], [592.254, 619.474], [592.092, 619.466], [591.93, 619.459], [591.768, 619.452], [591.606, 619.447], [591.444, 619.443], [591.282, 619.441], [591.12, 619.44]]",actual
