bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
33,327.72,868.08,4,substation_or_sw,開閉所,仙南,False,,PQ,0.0,0.0,0.0,0.0,1.0
34,469.98,585.06,2,substation_or_sw,開閉所,松島,False,,PQ,0.0,0.0,0.0,0.0,1.0
35,423.4,657.92,3,substation_or_sw,開閉所,塩釜,False,,PQ,0.0,0.0,0.0,0.0,1.0
36,265.344,866.04,1,substation_or_sw,開閉所,村田,False,,PQ,0.0,0.0,0.0,0.0,1.0
37,202.2,828.6,1,generator,発電所,（340502）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
38,262.56,797.84,3,generator,発電所,（340506）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
39,383.76,455.58,2,substation_or_sw,開閉所,陸前大幡,False,,PQ,0.0,0.0,0.0,0.0,1.0
40,440.92,452.8,3,substation_or_sw,開閉所,小牛田,False,,PQ,0.0,0.0,0.0,0.0,1.0
41,402.3,456.96,2,junction,,陸前大幡,False,,PQ,0.0,0.0,0.0,0.0,1.0
42,295.72,629.68,6,substation_or_sw,開閉所,仙台,False,,PQ,0.0,0.0,0.0,0.0,1.0
43,703.92,198.06,2,substation_or_sw,開閉所,津谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
44,622.56,266.52,2,junction,,米谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
45,660.0,270.6,2,junction,,（341203）,False,,PQ,0.0,0.0,0.0,0.0,1.0
46,682.68,322.68,1,substation_or_sw,開閉所,志津川,False,,PQ,0.0,0.0,0.0,0.0,1.0
47,597.48,277.56,1,substation_or_sw,開閉所,米谷,False,,PQ,0.0,0.0,0.0,0.0,1.0
48,280.56,364.8,1,junction,,岩出山,False,,PQ,0.0,0.0,0.0,0.0,1.0
49,301.2,357.24,1,substation_or_sw,開閉所,岩出山,False,,PQ,0.0,0.0,0.0,0.0,1.0
50,478.56,285.72,1,substation_or_sw,開閉所,南二又,False,,PQ,0.0,0.0,0.0,0.0,1.0
51,476.64,299.16,1,junction,,南二又,False,,PQ,0.0,0.0,0.0,0.0,1.0
52,502.08,360.6,1,substation_or_sw,開閉所,南方,False,,PQ,0.0,0.0,0.0,0.0,1.0
53,537.96,367.92,1,junction,,佐沼,False,,PQ,0.0,0.0,0.0,0.0,1.0
54,573.24,368.4,1,substation_or_sw,開閉所,登米,False,,PQ,0.0,0.0,0.0,0.0,1.0
55,724.44,141.48,3,substation_or_sw,開閉所,（341305）,False,,PQ,0.0,0.0,0.0,0.0,1.0
56,746.52,138.54,2,substation_or_sw,開閉所,松岩,False,,PQ,0.0,0.0,0.0,0.0,1.0
57,308.0,1063.761,3,substation_or_sw,開閉所,丸森,False,,PQ,0.0,0.0,0.0,0.0,1.0
58,393.326,853.971,1,generator,発電所,美田園,False,,PQ,0.0,0.0,5.0,2.4216,1.0
59,313.5,904.86,4,substation_or_sw,開閉所,船岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
60,308.68,980.561,1,generator,発電所,角田,False,,PQ,0.0,0.0,5.0,2.4216,1.0
61,147.36,991.441,1,substation_or_sw,変電所,（340305）,False,,PQ,4.0,1.9373,0.0,0.0,1.0
62,146.64,1002.961,1,generator,発電所,（340305）,False,,PQ,0.0,0.0,5.0,2.4216,1.0
63,747.12,37.8,1,junction,,,True,E/N,PQ,0.0,0.0,0.0,0.0,1.0
64,746.88,96.3,2,substation_or_sw,開閉所,鹿折,False,,PQ,0.0,0.0,0.0,0.0,1.0
65,727.38,173.46,2,substation_or_sw,開閉所,岩井崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
