line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
463A,6,268,66,102.437,False,"[[700.2, 841.68], [697.44, 831.84], [699.6, 806.76], [693.36, 782.76], [692.64, 740.52]]",actual,10.2437,0.007055,0.090067,0.00122263,50.0,
464B,7,8,66,79.321,False,"[[685.8, 826.32], [683.04, 819.84], [675.6, 814.56], [637.32, 812.64], [635.76, 808.8], [615.12, 807.48]]",actual,7.9321,0.005463,0.069743,0.00094673,50.0,
L0013,8,11,66,23.968,False,"[[627.6, 786.36], [613.92, 806.04]]",actual,2.3968,0.001651,0.021074,0.00028607,50.0,
L0014,9,10,66,23.349,False,"[[567.36, 542.64], [584.4, 536.16], [584.613, 535.967], [584.822, 535.784], [585.026, 535.61], [585.227, 535.443], [585.424, 535.283], [585.618, 535.128], [585.811, 534.977], [586.001, 534.829], [586.191, 534.684], [586.38, 534.54], [586.569, 534.396], [586.759, 534.251], [586.949, 534.103], [587.142, 533.952], [587.336, 533.798], [587.533, 533.637], [587.734, 533.47], [587.938, 533.296], [588.147, 533.113], [588.36, 532.92]]",actual,2.3349,0.001608,0.02053,0.00027868,50.0,
L0015,11,12,66,107.668,False,"[[627.84, 781.92], [627.36, 761.4], [605.76, 744.12], [596.16, 743.88], [591.24, 729.84], [598.68, 716.04], [618.0, 715.68]]",actual,10.7668,0.007415,0.094667,0.00128506,50.0,
L0016,11,12,66,70.832,False,"[[631.2, 784.08], [632.16, 761.76], [622.56, 737.64], [618.12, 724.8], [619.2, 715.92]]",actual,7.0832,0.004878,0.062279,0.00084541,50.0,
L0017,11,13,66,115.195,False,"[[592.68, 711.0], [581.28, 722.28], [581.88, 764.04], [585.96, 772.56], [603.96, 787.56], [621.6, 787.2], [627.84, 784.32]]",actual,11.5195,0.007934,0.101285,0.0013749,50.0,
464A,11,283,66,35.104,False,"[[661.44, 768.48], [660.014, 769.213], [658.548, 769.971], [657.046, 770.75], [655.512, 771.548], [653.951, 772.363], [652.368, 773.192], [650.767, 774.032], [649.152, 774.881], [647.528, 775.736], [645.9, 776.595], [644.272, 777.455], [642.648, 778.312], [641.033, 779.166], [639.432, 780.012], [637.849, 780.849], [636.288, 781.674], [634.754, 782.484], [633.252, 783.277], [631.786, 784.05], [630.36, 784.8]]",actual,3.5104,0.002418,0.030865,0.00041898,50.0,
411A,12,280,66,42.454,False,"[[652.32, 726.72], [652.32, 718.2], [618.48, 715.68]]",actual,4.2454,0.002924,0.037328,0.00050671,50.0,
L0018,12,284,66,23.369,False,"[[624.36, 690.0], [621.24, 713.16]]",actual,2.3369,0.001609,0.020547,0.00027892,50.0,
L0019,12,287,66,12.682,False,"[[605.76, 722.4], [618.36, 723.84]]",actual,1.2682,0.000873,0.011151,0.00015137,50.0,
L0020,13,285,66,11.111,False,"[[604.32, 703.32], [594.48, 708.48]]",actual,1.1111,0.000765,0.009769,0.00013261,50.0,
L0021,13,286,66,15.213,False,"[[591.84, 707.52], [583.8, 708.36], [578.64, 713.28]]",actual,1.5213,0.001048,0.013376,0.00018157,50.0,
L0022,13,286,66,16.753,False,"[[593.76, 708.84], [589.68, 710.52], [584.64, 714.36], [578.64, 714.12]]",actual,1.6753,0.001154,0.01473,0.00019995,50.0,
L0023,14,69,66,72.024,False,"[[221.16, 704.04], [221.16, 695.28], [231.72, 697.92], [235.2, 700.68], [256.8, 707.4], [260.28, 724.2], [268.44, 724.2]]",actual,7.2024,0.00496,0.063327,0.00085964,50.0,
L0024,14,309,66,58.223,False,"[[269.4, 724.92], [297.36, 724.56], [306.96, 721.8], [307.264, 721.743], [307.669, 721.645], [308.17, 721.507], [308.761, 721.333], [309.437, 721.125], [310.192, 720.884], [311.022, 720.613], [311.921, 720.314], [312.884, 719.989], [313.905, 719.64], [314.979, 719.27], [316.101, 718.88], [317.266, 718.473], [318.467, 718.05], [319.701, 717.615], [320.961, 717.169], [322.242, 716.714], [323.539, 716.253], [324.847, 715.788], [326.16, 715.32]]",actual,5.8223,0.00401,0.051192,0.00069492,50.0,
L0025,15,16,66,74.266,False,"[[273.72, 896.52], [256.32, 907.08], [248.04, 910.44], [233.16, 921.6], [227.28, 919.2], [223.08, 920.16], [222.904, 920.367], [222.737, 920.558], [222.576, 920.735], [222.422, 920.899], [222.274, 921.052], [222.13, 921.197], [221.989, 921.334], [221.851, 921.466], [221.715, 921.594], [221.58, 921.72], [221.445, 921.846], [221.309, 921.974], [221.171, 922.106], [221.03, 922.243], [220.886, 922.387], [220.738, 922.541], [220.584, 922.705], [220.423, 922.882], [220.256, 923.073], [220.08, 923.28], [220.403, 923.466], [220.789, 923.698], [221.232, 923.969], [221.724, 924.274], [222.255, 924.608], [222.819, 924.965], [223.407, 925.34], [224.012, 925.728], [224.626, 926.123], [225.24, 926.52], [225.847, 926.913], [226.439, 927.298], [227.008, 927.668], [227.546, 928.018], [228.045, 928.343], [228.497, 928.637], [228.895, 928.895], [229.23, 929.112], [229.494, 929.282], [229.68, 929.4]]",actual,7.4266,0.005115,0.065298,0.0008864,50.0,
L0026,15,33,66,62.085,False,"[[274.8, 894.6], [294.6, 895.56], [324.96, 866.16]]",actual,6.2085,0.004276,0.054588,0.00074101,50.0,
431C,15,30,66,71.393,False,"[[273.96, 895.44], [273.48, 904.32], [269.16, 912.84], [262.68, 921.96], [262.645, 922.518], [262.611, 923.076], [262.579, 923.634], [262.548, 924.193], [262.519, 924.752], [262.49, 925.311], [262.462, 925.871], [262.434, 926.432], [262.407, 926.993], [262.38, 927.555], [262.353, 928.118], [262.326, 928.682], [262.298, 929.247], [262.27, 929.813], [262.241, 930.381], [262.212, 930.949], [262.181, 931.52], [262.149, 932.091], [262.115, 932.665], [262.08, 933.24], [251.64, 943.32], [260.04, 956.881]]",actual,7.1393,0.004917,0.062772,0.00085211,50.0,
425J,15,36,66,38.553,False,"[[272.16, 867.84], [262.8, 872.88], [261.48, 877.08], [263.4, 883.8], [265.44, 887.16], [265.44, 894.72], [270.48, 894.72]]",actual,3.8553,0.002655,0.033898,0.00046015,50.0,
L0027,15,79,66,97.938,False,"[[188.88, 869.4], [202.68, 885.96], [234.12, 896.88], [248.04, 897.84], [250.8, 901.32], [256.92, 902.52], [257.642, 902.139], [258.401, 901.751], [259.193, 901.357], [260.014, 900.959], [260.859, 900.557], [261.725, 900.152], [262.606, 899.744], [263.5, 899.335], [264.401, 898.925], [265.305, 898.515], [266.208, 898.106], [267.107, 897.699], [267.995, 897.294], [268.871, 896.893], [269.728, 896.496], [270.564, 896.103], [271.373, 895.717], [272.151, 895.337], [272.895, 894.964], [273.6, 894.6]]",actual,9.7938,0.006745,0.086112,0.00116893,50.0,
425D,15,112,66,38.913,False,"[[273.96, 896.76], [293.16, 898.32], [298.32, 917.28]]",actual,3.8913,0.00268,0.034214,0.00046444,50.0,
L0028,16,84,66,10.479,False,"[[219.36, 928.56], [228.96, 932.76]]",actual,1.0479,0.000722,0.009214,0.00012507,50.0,
L0029,17,18,66,43.309,False,"[[437.28, 241.32], [440.28, 236.88], [444.84, 235.44], [459.48, 235.44], [464.76, 253.2]]",actual,4.3309,0.002983,0.038079,0.00051691,50.0,
L0030,17,121,66,51.766,False,"[[436.44, 240.48], [430.44, 243.84], [426.48, 241.92], [423.84, 246.72], [409.2, 247.2], [396.48, 244.32], [389.16, 244.32]]",actual,5.1766,0.003565,0.045515,0.00061785,50.0,
L0031,19,20,66,43.313,False,"[[307.08, 592.68], [290.88, 589.32], [290.76, 579.6], [282.72, 579.6], [282.36, 588.6]]",actual,4.3313,0.002983,0.038083,0.00051696,50.0,
L0032,19,42,66,53.092,False,"[[308.28, 593.04], [319.08, 601.56], [313.92, 608.76], [316.56, 612.12], [307.68, 620.04], [299.64, 621.12], [296.04, 626.16]]",actual,5.3092,0.003656,0.046681,0.00063368,50.0,
L0033,20,244,66,19.701,False,"[[264.36, 589.68], [281.76, 580.44]]",actual,1.9701,0.001357,0.017322,0.00023514,50.0,
L0034,20,297,66,18.02,False,"[[282.72, 579.72], [275.16, 579.96], [264.84, 578.28]]",actual,1.802,0.001241,0.015844,0.00021508,50.0,
L0035,20,298,66,15.567,False,"[[286.2, 579.6], [274.44, 569.4]]",actual,1.5567,0.001072,0.013687,0.0001858,50.0,
L0036,21,22,66,135.432,False,"[[432.0, 302.16], [426.6, 294.72], [435.12, 287.04], [455.64, 290.28], [463.92, 299.52], [479.16, 299.52], [512.52, 313.56], [523.92, 326.88], [523.956, 327.51], [523.992, 328.14], [524.028, 328.77], [524.064, 329.4], [524.1, 330.03], [524.136, 330.66], [524.172, 331.29], [524.208, 331.92], [524.244, 332.55], [524.28, 333.18], [524.316, 333.81], [524.352, 334.44], [524.388, 335.07], [524.424, 335.7], [524.46, 336.33], [524.496, 336.96], [524.532, 337.59], [524.568, 338.22], [524.604, 338.85], [524.64, 339.48]]",actual,13.5432,0.009327,0.119078,0.00161644,50.0,
L0037,21,95,66,71.837,False,"[[429.84, 303.6], [423.96, 297.48], [412.8, 304.44], [415.2, 313.68], [425.64, 343.08], [424.32, 352.44]]",actual,7.1837,0.004947,0.063162,0.00085741,50.0,
L0038,22,47,66,102.472,False,"[[597.48, 277.56], [601.44, 285.12], [590.4, 293.28], [559.92, 311.4], [555.6, 319.44], [546.24, 324.24], [526.2, 339.36]]",actual,10.2472,0.007057,0.090098,0.00122305,50.0,
L0039,22,52,66,36.221,False,"[[502.08, 360.6], [508.92, 362.04], [514.8, 358.44], [514.56, 347.16], [523.92, 341.28]]",actual,3.6221,0.002495,0.031847,0.00043231,50.0,
L0040,22,66,66,99.383,False,"[[525.0, 340.08], [534.72, 344.88], [537.48, 350.64], [537.48, 391.92], [549.36, 412.68], [549.84, 422.04], [557.4, 422.64]]",actual,9.9383,0.006845,0.087382,0.00118618,50.0,
L0041,23,24,66,12.051,False,"[[587.28, 561.12], [596.76, 568.56]]",actual,1.2051,0.00083,0.010596,0.00014383,50.0,
L0042,23,89,66,52.341,False,"[[544.2, 528.48], [549.0, 533.76], [575.76, 547.08], [585.12, 559.2]]",actual,5.2341,0.003605,0.046021,0.00062471,50.0,
L0043,25,41,66,70.261,False,"[[402.48, 456.96], [398.52, 470.28], [401.28, 476.4], [397.8, 494.76], [394.2, 503.4], [387.12, 508.32], [377.88, 517.44]]",actual,7.0261,0.004839,0.061777,0.0008386,50.0,
L0044,25,88,66,41.564,False,"[[377.76, 517.08], [375.84, 526.8], [379.08, 533.16], [377.28, 542.88], [372.84, 546.72], [373.08, 555.48]]",actual,4.1564,0.002863,0.036545,0.00049608,50.0,
L0045,25,27,66,43.831,False,"[[338.28, 508.8], [345.0, 513.24], [348.96, 513.84], [354.6, 517.2], [360.84, 519.24], [368.28, 520.32], [378.72, 516.48]]",actual,4.3831,0.003019,0.038538,0.00052314,50.0,
L0046,25,194,66,10.484,False,"[[413.16, 511.32], [404.4, 505.56]]",actual,1.0484,0.000722,0.009218,0.00012513,50.0,
L0047,25,195,66,13.385,False,"[[370.56, 519.48], [371.88, 506.16]]",actual,1.3385,0.000922,0.011769,0.00015976,50.0,
L0048,25,200,66,19.592,False,"[[384.96, 506.52], [391.08, 500.76], [391.08, 496.08], [388.56, 490.08]]",actual,1.9592,0.001349,0.017226,0.00023384,50.0,
L0049,26,27,66,10.331,False,"[[355.68, 528.24], [356.16, 517.92]]",actual,1.0331,0.000712,0.009084,0.00012331,50.0,
L0050,26,88,66,55.534,False,"[[341.04, 539.04], [343.68, 532.92], [351.96, 535.8], [357.12, 538.32], [357.085, 538.95], [357.051, 539.58], [357.02, 540.21], [356.989, 540.84], [356.961, 541.47], [356.933, 542.1], [356.907, 542.73], [356.882, 543.36], [356.858, 543.99], [356.835, 544.62], [356.813, 545.25], [356.792, 545.88], [356.771, 546.51], [356.751, 547.14], [356.732, 547.77], [356.713, 548.4], [356.694, 549.03], [356.676, 549.66], [356.658, 550.29], [356.64, 550.92], [364.2, 551.04], [370.08, 548.04], [370.084, 548.403], [370.097, 548.77], [370.116, 549.142], [370.142, 549.517], [370.174, 549.896], [370.21, 550.278], [370.249, 550.661], [370.291, 551.047], [370.335, 551.433], [370.38, 551.82], [370.425, 552.207], [370.469, 552.593], [370.511, 552.979], [370.55, 553.362], [370.586, 553.744], [370.618, 554.123], [370.644, 554.498], [370.663, 554.87], [370.676, 555.237], [370.68, 555.6]]",actual,5.5534,0.003825,0.048828,0.00066282,50.0,
L0051,27,94,66,92.071,False,"[[370.68, 436.44], [363.24, 442.92], [364.44, 447.6], [361.68, 449.76], [357.48, 447.36], [358.8, 452.76], [346.56, 464.4], [343.8, 476.64], [341.64, 479.16], [338.76, 490.68], [338.759, 491.663], [338.757, 492.633], [338.753, 493.592], [338.747, 494.54], [338.741, 495.48], [338.734, 496.413], [338.726, 497.34], [338.718, 498.262], [338.709, 499.182], [338.7, 500.1], [338.691, 501.018], [338.682, 501.938], [338.674, 502.861], [338.666, 503.787], [338.659, 504.72], [338.652, 505.66], [338.647, 506.608], [338.643, 507.567], [338.641, 508.537], [338.64, 509.52]]",actual,9.2071,0.006341,0.080953,0.00109891,50.0,
L0052,27,157,66,67.754,False,"[[337.08, 517.68], [330.84, 519.84], [327.72, 530.64], [297.84, 528.96], [297.442, 529.847], [297.041, 530.744], [296.637, 531.649], [296.231, 532.562], [295.822, 533.481], [295.412, 534.404], [295.0, 535.332], [294.588, 536.262], [294.174, 537.193], [293.76, 538.125], [293.346, 539.056], [292.932, 539.985], [292.52, 540.91], [292.108, 541.831], [291.697, 542.747], [291.289, 543.656], [290.883, 544.557], [290.479, 545.448], [290.078, 546.33], [289.68, 547.2]]",actual,6.7754,0.004666,0.059573,0.00080867,50.0,
L0053,27,85,66,47.108,False,"[[338.52, 508.92], [334.68, 528.0], [332.64, 543.12], [333.48, 555.48]]",actual,4.7108,0.003244,0.04142,0.00056225,50.0,
L0054,27,242,66,10.921,False,"[[358.32, 518.4], [358.44, 507.48]]",actual,1.0921,0.000752,0.009602,0.00013035,50.0,
482G,28,138,66,30.359,False,"[[481.32, 571.44], [487.32, 601.2]]",actual,3.0359,0.002091,0.026693,0.00036235,50.0,
